*RZWQM2 OUTPUTS Version 3.27 Intel Fortran               Apr 29, 2016; 16:12:54


         SHAW E         SHAW T        SHAW ET        SHAW PT        RZ PT            AE            AT           SHAWE-AE
   73  0.120922       0.000000       0.120229       0.000000       0.000000       0.120922       0.000000      -0.000000
   74  0.081894       0.000000       0.082251       0.000000       0.000000       0.081895       0.000000      -0.000001
   75  0.060727       0.000000       0.061347       0.000000       0.000000       0.060727       0.000000       0.000000
   76  0.000000       0.000000       0.002781       0.000000       0.000000       0.000000       0.000000      -0.000000
   77  0.000000       0.000000       0.000025       0.000000       0.000000       0.000000       0.000000       0.000000
   78  0.000000       0.000000      -0.000005       0.000000       0.000000       0.000000       0.000000       0.000000
   79  0.000000       0.000000       0.000139       0.000000       0.000000       0.000000       0.000000       0.000000
   80  0.000000       0.000000      -0.000299       0.000000       0.000000       0.000000       0.000000       0.000000
   81  0.000000       0.000000       0.000342       0.000000       0.000000       0.000000       0.000000       0.000000
   82  0.000000       0.000000       0.000025       0.000000       0.000000       0.000000       0.000000       0.000000
   83  0.000000       0.000000       0.000020       0.000000       0.000000       0.000000       0.000000       0.000000
   84  0.000000       0.000000      -0.000783       0.000000       0.000000       0.000000       0.000000       0.000000
   85  0.000000       0.000000       0.000845       0.000000       0.000000       0.000000       0.000000       0.000000
   86  0.000000       0.000000      -0.000068       0.000000       0.000000       0.000000       0.000000       0.000000
   87  0.000000       0.000000      -0.000253       0.000000       0.000000       0.000000       0.000000       0.000000
   88  0.000000       0.000000       0.026027       0.000000       0.000000       0.000000       0.000000       0.000000
   89  0.000000       0.000000       0.023891       0.000000       0.000000       0.000000       0.000000       0.000000
   90  0.000000       0.000000       0.008949       0.000000       0.000000       0.000000       0.000000       0.000000
   91  0.000000       0.000000      -0.000090       0.000000       0.000000       0.000000       0.000000       0.000000
   92  0.000000       0.000000      -0.000131       0.000000       0.000000       0.000000       0.000000       0.000000
   93  0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
   94  0.000000       0.000000       0.000197       0.000000       0.000000       0.000000       0.000000       0.000000
